beds,baths,sell_price,sqft,property_tax,maintenance_fee,ground_unit,penthouse_unit,studio_unit,corner_unit,end_unit,upper_unit,inside_unit,townhouse,age_restricted,rentals_allowed,pets_allowed,no_smoking,no_restrictions,zoning_compdev,zoning_residential,neighbourhood_Brentwood Park,neighbourhood_Burnaby Hospital,neighbourhood_Capitol Hill BN,neighbourhood_Cariboo,neighbourhood_Central BN,neighbourhood_Central Park BS,neighbourhood_Edmonds BE,neighbourhood_Forest Glen BS,neighbourhood_Forest Hills BN,neighbourhood_Government Road,neighbourhood_Greentree Village,neighbourhood_Highgate,neighbourhood_Metrotown,neighbourhood_Montecito,neighbourhood_Oaklands,neighbourhood_Parkcrest,neighbourhood_Simon Fraser Hills,neighbourhood_Simon Fraser Univer.,neighbourhood_South Slope,neighbourhood_Sullivan Heights,neighbourhood_Vancouver Heights,neighbourhood_Westridge BN,neighbourhood_Willingdon Heights,building_age_Lived In,building_age_New,building_age_Newish,building_age_Old,building_age_Very Old
2,1,490000,877,2149.72,344.1,0,0,0,0,0,1,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,358500,704,1871.3,241.6,0,0,0,0,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,1,420000,876,1395.0,343.68,0,0,0,0,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,1,485000,864,2155.41,369.0,0,0,0,0,0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,440000,780,2020.05,240.28,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,430000,730,1991.64,240.0,0,0,0,0,0,0,0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,1,572500,1147,2412.86,377.97,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,1,520000,989,2347.53,336.91,0,0,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,560000,624,2267.33,291.34,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,553000,624,2301.43,276.78,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,460000,563,1902.03,311.68,0,0,0,0,0,0,1,0.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,376000,849,1773.97,326.27,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,330000,745,1688.44,286.57,0,0,0,0,0,1,1,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,305000,642,1333.58,253.09,0,0,0,0,0,0,1,0.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,265000,622,1515.57,287.25,0,1,0,0,0,1,0,0.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
