listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2448653,# 519 388 KOOTENAY STREET,Vancouver,Hastings Sunrise,2,1,Apartment,Upper Unit,2020-04-29,590000,599800,625800,802,5,1498.73,Freehold Strata,389.71,"Pets Allowed, Rentals Allowed",C2-C
R2444219,# 901 3740 ALBERT STREET,Burnaby,Vancouver Heights,2,1,Apartment,Upper Unit,2020-03-23,490000,525000,525000,877,36,2149.72,Freehold Strata,344.1,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2451408,# 607 3760 ALBERT STREET,Burnaby,Vancouver Heights,1,1,Apartment,Inside Unit,2020-06-05,358500,374900,374900,704,37,1871.3,Freehold Strata,241.6,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2452612,# 201 3740 ALBERT STREET,Burnaby,Vancouver Heights,2,1,Apartment,Inside Unit,2020-05-12,420000,429000,429000,876,36,1395.0,Freehold Strata,343.68,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2436217,# 405 3760 ALBERT STREET,Burnaby,Vancouver Heights,2,1,Apartment,Inside Unit,2020-02-20,485000,499000,499000,864,38,2155.41,Freehold Strata,369.0,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2463150,# 108 3709 PENDER STREET,Burnaby,Willingdon Heights,1,1,Apartment,1 Storey,2020-06-10,440000,439900,439900,780,26,2020.05,Freehold Strata,240.28,"Pets Allowed, Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MF
R2431467,# 205 3709 PENDER STREET,Burnaby,Willingdon Heights,1,1,Townhouse,,2020-03-09,430000,448888,448888,730,26,1991.64,Freehold Strata,240.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2443154,# 507 3920 HASTINGS STREET,Burnaby,Willingdon Heights,2,1,Apartment,Upper Unit,2020-03-21,572500,575000,575000,1147,34,2412.86,Freehold Strata,377.97,"Pets Not Allowed, Rentals Not Allowed",CD
R2450652,# 1106 3920 HASTINGS STREET,Burnaby,Willingdon Heights,2,1,Apartment,"Corner Unit, Upper Unit",2020-05-14,520000,559900,575000,989,34,2347.53,Freehold Strata,336.91,"Pets Not Allowed, Rentals Not Allowed",CD
R2453402,# 304 4307 HASTINGS STREET,Burnaby,Vancouver Heights,1,1,Apartment,1 Storey,2020-05-05,560000,569000,569000,624,5,2267.33,Freehold Strata,291.34,"Pets Allowed, Rentals Allowed",CD
R2418061,# 303 4307 HASTINGS STREET,Burnaby,Vancouver Heights,1,1,Apartment,1 Storey,2020-01-07,553000,588000,588000,624,5,2301.43,Freehold Strata,276.78,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2441420,# 303 4477 HASTINGS STREET,Burnaby,Vancouver Heights,1,1,Apartment,1 Storey,2020-03-07,595900,595900,595900,727,0,,Freehold Strata,270.03,"Pets Allowed with Restrictions, Rentals Allowed",CD
